"","precip.val","lnorm.pdf","lnorm.cdf"
"1",0.25,0.504081987124426,0.504081987124426
"2",0.75,0.309049353368974,0.813131340493399
"3",1.25,0.206425859253101,1.0195571997465
"4",1.75,0.148868828190654,1.16842602793715
"5",2.25,0.112988047353878,1.28141407529103
"6",2.75,0.0889120799827991,1.37032615527383
"7",3.25,0.0718802423619981,1.44220639763583
"8",3.75,0.0593433394442603,1.50154973708009
"9",4.25,0.0498247598909552,1.55137449697105
"10",4.75,0.0424158064608413,1.59379030343189
"11",5.25,0.0365297960491551,1.63032009948104
"12",5.75,0.0317729052198797,1.66209300470092
"13",6.25,0.0278721018646984,1.68996510656562
"14",6.75,0.0246328788410106,1.71459798540663
"15",7.25,0.0219134115394671,1.7365113969461
"16",7.75,0.019608188348999,1.7561195852951
"17",8.25,0.0176373211435519,1.77375690643865
"18",8.75,0.0159393776174196,1.78969628405607
"19",9.25,0.014466462082587,1.80416274613865
"20",9.75,0.0131807691702738,1.81734351530893
"21",10.25,0.0120521246720515,1.82939563998098
"22",10.75,0.0110562015974686,1.84045184157845
"23",11.25,0.0101732066404007,1.85062504821885
"24",11.75,0.00938689985169046,1.86001194807054
"25",12.25,0.00868385391912581,1.86869580198967
"26",12.75,0.00805288813690869,1.87674869012657
"27",13.25,0.00748463135322684,1.8842333214798
"28",13.75,0.00697118125877974,1.89120450273858
"29",14.25,0.0065058364140416,1.89771033915262
"30",14.75,0.00608288374392124,1.90379322289654
"31",15.25,0.00569742872194813,1.90949065161849
"32",15.75,0.00534525869369634,1.91483591031219
"33",16.25,0.00502273213333836,1.91985864244553
"34",16.75,0.0047266883475052,1.92458533079303
"35",17.25,0.00445437341534733,1.92903970420838
"36",17.75,0.00420337910686048,1.93324308331524
"37",18.25,0.00397159224037301,1.93721467555561
"38",18.75,0.00375715248656901,1.94097182804218
"39",19.25,0.0035584170450232,1.9445302450872
"40",19.75,0.00337393094217502,1.94790417602938
"41",20.25,0.00320240195051575,1.9511065779799
"42",20.75,0.00304267932485687,1.95414925730475
"43",21.25,0.00289373570577526,1.95704299301053
"44",21.75,0.00275465166233406,1.95979764467286
"45",22.25,0.00262460244322195,1.96242224711608
"46",22.75,0.0025028465830502,1.96492509369913
"47",23.25,0.00238871607290404,1.96731380977204
"48",23.75,0.00228160785459628,1.96959541762663
"49",24.25,0.00218097643891288,1.97177639406555
"50",24.75,0.00208632748141476,1.97386272154696
"51",25.25,0.00199721217658237,1.97585993372354
"52",25.75,0.00191322235345018,1.97777315607699
"53",26.25,0.00183398617431645,1.97960714225131
"54",26.75,0.00175916435337364,1.98136630660468
"55",27.25,0.00168844682477943,1.98305475342946
"56",27.75,0.00162154980025179,1.98467630322972
"57",28.25,0.00155821316510466,1.98623451639482
"58",28.75,0.00149819816904971,1.98773271456387
"59",29.25,0.00144128537432439,1.98917399993819
"60",29.75,0.00138727282896731,1.99056127276716
"61",30.25,0.00133597443751437,1.99189724720468
"62",30.75,0.00128721850516778,1.99318446570984
"63",31.25,0.00124084643470507,1.99442531214455
"64",31.75,0.00119671155813795,1.99562202370269
"65",32.25,0.0011546780874767,1.99677670179016
"66",32.75,0.00111462017096657,1.99789132196113
"67",33.25,0.0010764210428906,1.99896774300402
"68",33.75,0.00103997225652152,2.00000771526054
"69",34.25,0.0010051729910899,2.00101288825163
"70",34.75,0.000971929424746662,2.00198481767638
"71",35.25,0.000940154166461144,2.00292497184284
"72",35.75,0.000909765740632354,2.00383473758347
"73",36.25,0.000880688118918784,2.00471542570239
"74",36.75,0.00085285029442677,2.00556827599682
"75",37.25,0.000826185893951643,2.00639446189077
"76",37.75,0.000800632824450916,2.00719509471522
"77",38.25,0.000776132950353905,2.00797122766557
"78",38.75,0.000752631798685452,2.00872385946426
"79",39.25,0.000730078289309758,2.00945393775357
"80",39.75,0.000708424487889553,2.01016236224146
"81",40.25,0.000687625379411,2.01084998762087
"82",40.75,0.000667638660350263,2.01151762628122
"83",41.25,0.000648424547757192,2.01216605082898
"84",41.75,0.000629945603708498,2.01279599643269
"85",42.25,0.000612166573739729,2.01340816300643
"86",42.75,0.000595054238004895,2.01400321724443
"87",43.25,0.000578577274036776,2.01458179451847
"88",43.75,0.00056270613009158,2.01514450064856
"89",44.25,0.000547412908160343,2.01569191355672
"90",44.75,0.000532671255817748,2.01622458481254
"91",45.25,0.000518456266157867,2.0167430410787
"92",45.75,0.000504744385137069,2.01724778546383
